gtin ,sku ,stock,(1) price before discount,(2) price after discount,collectionhours
4751043578540,000084-0030-XL,0,249.00,199.80,72
4751043578564,000084-0030-2XL,0,249.00,199.80,72
4751043578588,000084-0030-3XL,3,249.00,149.00,24
4751043578601,000084-0030-4XL,0,249.00,199.80,72
4751043578625,000084-0030-5XL,0,249.00,199.80,72
4751043570238,000077-0003-XS,0,49.00,19.50,24
4751043570252,000077-0003-S,3,49.00,19.50,24
4751043570276,000077-0003-M,0,49.00,25.00,24
4751043570290,000077-0003-L,3,49.00,19.50,24
4751043570313,000077-0003-XL,3,49.00,19.50,24
4751043570337,000077-0003-2XL,3,49.00,19.50,24
4751043570351,000077-0003-3XL,0,49.00,25.00,24
4751043570375,000077-0003-4XL,0,49.00,25.00,24
4751043570399,000077-0003-5XL,0,49.00,25.00,24
4751043577567,000071-0002-XS,3,49.00,,24
4751043577581,000071-0002-S,0,49.00,,24
4751043577604,000071-0002-M,0,49.00,,24
4751043577628,000071-0002-L,0,49.00,,24
4751043577642,000071-0002-XL,3,49.00,,24
4751043577666,000071-0002-2XL,0,49.00,,24
4751043577680,000071-0002-3XL,0,49.00,,72
4751043577703,000071-0002-4XL,0,49.00,,72
4751043577727,000071-0002-5XL,0,49.00,,72
4751043579684,000076-0023-XS,2,125.00,62.50,24
4751043579707,000076-0023-S,1,125.00,62.50,24
4751043579721,000076-0023-M,0,125.00,62.50,48
4751043579745,000076-0023-L,0,125.00,62.50,24
4751043579769,000076-0023-XL,0,125.00,62.50,48
4751043579783,000076-0023-2XL,1,125.00,62.50,24
4751043579806,000076-0023-3XL,3,125.00,62.50,24
4751043579820,000076-0023-4XL,1,125.00,62.50,24
4751043579844,000076-0023-5XL,2,125.00,62.50,24
4751043579868,000076-0025-XS,1,125.00,62.50,24
4751043579882,000076-0025-S,1,125.00,62.50,24
4751043579905,000076-0025-M,3,125.00,62.50,24
4751043579929,000076-0025-L,0,125.00,62.50,24
4751043579943,000076-0025-XL,4,125.00,62.50,24
4751043579967,000076-0025-2XL,3,125.00,62.50,24
4751043579981,000076-0025-3XL,0,125.00,62.50,48
4751043570016,000076-0025-4XL,1,125.00,62.50,24
4751043570030,000076-0025-5XL,1,125.00,62.50,24
4751043570054,000076-0003-XS,4,125.00,59.00,24
4751043570078,000076-0003-S,3,125.00,59.00,24
4751043570092,000076-0003-M,0,125.00,59.00,48
4751043570115,000076-0003-L,0,125.00,59.00,48
4751043570139,000076-0003-XL,0,125.00,59.00,24
4751043570153,000076-0003-2XL,0,125.00,59.00,24
4751043570177,000076-0003-3XL,3,125.00,59.00,24
4751043570191,000076-0003-4XL,3,125.00,59.00,24
4751043570214,000076-0003-5XL,0,125.00,59.00,48
4751043578649,000074-0003-XS,8,179.00,,24
4751043578663,000074-0003-S,7,179.00,,72
4751043578687,000074-0003-M,17,179.00,,72
4751043578700,000074-0003-LS,19,179.00,,72
4751043578724,000074-0003-L,26,179.00,,72
4751043578748,000074-0003-LL,28,179.00,,24
4751043578762,000074-0003-XLS,0,179.00,,24
4751043578786,000074-0003-XL,0,179.00,,72
4751043578809,000074-0003-XLL,25,179.00,,72
4751043578823,000074-0003-2XL,23,179.00,,72
4751043578847,000074-0003-3XL,6,179.00,,72
4751043578861,000074-0003-4XL,11,179.00,,72
4751043578885,000074-0003-5XL,7,179.00,,72
4751043571884,000102-0003-XS,2,289.00,229.8,24
4751043571907,000102-0003-S,4,289.00,229.8,24
4751043571921,000102-0003-M,3,289.00,229.8,24
4751043571945,000102-0003-L,6,289.00,229.8,24
4751043571969,000102-0003-XL,0,289.00,229.8,72
4751043571983,000102-0003-2XL,6,289.00,229.8,24
4751043572003,000102-0003-3XL,4,289.00,229.8,24
4751043572027,000102-0003-4XL,0,289.00,229.8,72
4751043572041,000102-0003-5XL,0,289.00,229.8,72
4751043572065,000102-0009-XS,0,160.00,149,48
4751043572089,000102-0009-S,2,160.00,149,24
4751043572102,000102-0009-M,4,160.00,149,24
4751043572126,000102-0009-L,3,160.00,149,24
4751043572140,000102-0009-XL,3,160.00,149,24
4751043572164,000102-0009-2XL,3,160.00,149,24
4751043572188,000102-0009-3XL,0,160.00,149,48
4751043572201,000102-0009-4XL,0,160.00,149,24
4751043572225,000102-0009-5XL,0,160.00,149,48
4751043571525,000103-0002-XS,1,329.00,229.8,72
4751043571549,000103-0002-S,6,329.00,229.8,72
4751043571563,000103-0002-M,3,329.00,229.8,72
4751043571587,000103-0002-L,0,329.00,229.8,72
4751043571600,000103-0002-XL,0,329.00,229.8,72
4751043571624,000103-0002-2XL,4,329.00,229.8,72
4751043571648,000103-0002-3XL,3,329.00,229.8,72
4751043571662,000103-0002-4XL,2,329.00,229.8,72
4751043571686,000103-0002-5XL,0,329.00,229.8,72
4751043571709,000103-0007-XS,2,329.00,229.8,24
4751043571723,000103-0007-S,2,329.00,229.8,24
4751043571747,000103-0007-M,2,329.00,229.8,24
4751043571761,000103-0007-L,0,329.00,229.8,72
4751043571785,000103-0007-XL,0,329.00,229.8,72
4751043571808,000103-0007-2XL,2,329.00,229.8,24
4751043571822,000103-0007-3XL,2,329.00,229.8,24
4751043571846,000103-0007-4XL,2,329.00,229.8,24
4751043571860,000103-0007-5XL,0,329.00,229.8,72
4751043572768,000105-0002-XS,5,89.00,,24
4751043572782,000105-0002-S,5,89.00,,24
4751043572805,000105-0002-M,5,89.00,,24
4751043572829,000105-0002-LS,0,89.00,,24
4751043572843,000105-0002-L,0,89.00,,24
4751043572867,000105-0002-LL,0,89.00,,24
4751043572881,000105-0002-XLS,5,89.00,,24
4751043572904,000105-0002-XL,0,89.00,,72
4751043572928,000105-0002-XLL,5,89.00,,24
4751043572942,000105-0002-2XL,0,89.00,,72
4751043572966,000105-0002-3XL,0,89.00,,72
4751043572980,000105-0002-4XL,0,89.00,,72
4751043573000,000105-0002-5XL,0,89.00,,24
4751043572180,000024-0004-L,0,22.00,,72
4751043572166,000024-0004-M,0,22.00,,72
4751043572203,000024-0004-XL,0,22.00,,72
4751043572241,000024-0008-L,0,22.00,,72
4751043572227,000024-0008-M,0,22.00,,72
4751043572265,000024-0008-XL,0,22.00,,72
4751043574617,000008-0008-XS,4,59,26,24
4751043574631,000008-0008-S,0,59,26,72
4751043574655,000008-0008-M,0,59,26,72
4751043574679,000008-0008-L,0,59,26,72
4751043574693,000008-0008-XL,0,59,26,72
4751043574716,000008-0008-2XL,0,59,26,72
4751043574730,000008-0008-3XL,0,59,26,72
4751043574754,000008-0008-4XL,0,59,26,72
4751043574691,000007-0008-M,0,79,59,72
4751043574684,000007-0008-L,0,79,59,72
4751043574714,000007-0008-XL,0,79,59,72
4751043574653,000007-0008-2XL,0,79,59,72
4751043574660,000007-0008-3XL,0,79,59,72
4751043574677,000007-0008-4XL,0,79,59,72
4751043571179,000009-0003-XS,0,59.00,,72
4751043574769,000009-0003-M,0,59,,72
4751043574752,000009-0003-L,0,59,,72
4751043574783,000009-0003-XL,1,59,24,72
4751043574721,000009-0003-2XL,1,59,24,72
4751043574738,000009-0003-3XL,4,59,24,72
4751043574745,000009-0003-4XL,0,59,,72
4751043577335,000021-0004-XS,2,39.00,19.8,24
4751043577359,000021-0004-S,1,39.00,19.8,24
4751043577373,000021-0004-M,0,39.00,19.8,72
4751043577397,000021-0004-L,0,39.00,19.8,72
4751043577410,000021-0004-XL,0,39.00,19.8,72
4751043577434,000021-0004-2XL,0,39.00,19.8,72
4751043577458,000021-0004-3XL,0,39.00,19.8,72
4751043577472,000021-0004-4XL,3,39.00,19.8,24
4751043577175,000020-0010-XS,1,39.00,19.8,24
4751043577199,000020-0010-S,1,39.00,19.8,24
4751043577212,000020-0010-M,0,39.00,19.8,72
4751043577236,000020-0010-L,0,39.00,19.8,72
4751043577250,000020-0010-XL,0,39.00,19.8,72
4751043577274,000020-0010-2XL,0,39.00,19.8,72
4751043577298,000020-0010-3XL,2,39.00,19.8,24
4751043577311,000020-0010-4XL,0,39.00,19.8,72
4751043577496,000022-0004-XS,0,45.00,29.8,72
4751043577519,000022-0004-S,0,45.00,29.8,72
4751043577533,000022-0004-M,0,45.00,,72
4751043577557,000022-0004-L,0,45.00,,72
4751043577571,000022-0004-XL,0,45.00,,72
4751043577595,000022-0004-2XL,0,45.00,29.8,72
4751043577618,000022-0004-3XL,3,45.00,29.8,24
4751043577632,000022-0004-4XL,0,45.00,29.8,72
4751043576857,000018-0006-XS,8,35,12,24
4751043576871,000018-0006-S,0,35,12,72
4751043577014,000019-0003-XS,2,35,12,24
4751043577038,000019-0003-S,0,35,12,72
4751043570495,000131-0037-XS,5,30,15,24
4751043570518,000131-0037-S,5,30,15,24
4751043570532,000131-0037-M,0,30,15,72
4751043570556,000131-0037-L,0,30,,72
4751043570570,000131-0037-XL,0,30,,72
4751043570594,000131-0037-2XL,0,30,,72
4751043570617,000131-0037-3XL,0,30,,72
4751043570631,000131-0037-4XL,0,30,,72
4751043570174,000131-0036-XS,5,30,15,24
4751043570198,000131-0036-S,5,30,15,24
4751043570211,000131-0036-M,0,30,,72
4751043570235,000131-0036-L,0,30,,72
4751043570259,000131-0036-XL,0,30,,72
4751043570273,000131-0036-2XL,0,30,,72
4751043570297,000131-0036-3XL,0,30,,72
4751043570310,000131-0036-4XL,0,30,,72
4751043570334,000131-0030-XS,14,30,15,24
4751043570358,000131-0030-S,7,30,15,24
4751043570372,000131-0030-M,0,30,0,72
4751043570396,000131-0030-L,0,30,,72
4751043570419,000131-0030-XL,0,30,,72
4751043570433,000131-0030-2XL,0,30,,72
4751043570457,000131-0030-3XL,0,30,,72
4751043570471,000131-0030-4XL,0,30,,72
4751043570655,000132-0036-XS,0,33,,72
4751043570679,000132-0036-S,0,33,,24
4751043570693,000132-0036-M,0,33,,72
4751043570716,000132-0036-L,0,33,,72
4751043570730,000132-0036-XL,0,33,,72
4751043570754,000132-0036-2XL,0,33,,72
4751043570778,000132-0036-3XL,0,33,,72
4751043570792,000132-0036-4XL,0,33,,72
4751043570815,000132-0030-XS,0,33,19.8,24
4751043570839,000132-0030-S,0,33,19.8,24
4751043570853,000132-0030-M,0,33,,72
4751043570877,000132-0030-L,0,33,,72
4751043570891,000132-0030-XL,0,33,,72
4751043570914,000132-0030-2XL,0,33,,72
4751043570938,000132-0030-3XL,0,33,,72
4751043570952,000132-0030-4XL,0,33,,72
4751043570976,000132-0037-XS,0,33,19.8,72
4751043570990,000132-0037-S,0,33,19.8,72
4751043571010,000132-0037-M,0,33,,72
4751043571034,000132-0037-L,0,33,,72
4751043571058,000132-0037-XL,0,33,,72
4751043571072,000132-0037-2XL,0,33,,72
4751043571096,000132-0037-3XL,0,33,,72
4751043571119,000132-0037-4XL,0,33,,72
4751043571195,000024-0038-M,22,25.9,15,72
4751043571256,000055-0029-OneSize,10,13,5,24
4751043571270,000055-0038-OneSize,20,13,5,24
4751043577656,000023-0003-XS,0,45,,72
4751043577731,000023-0003-XL,0,45,,72
4751043577755,000023-0003-2XL,5,45,22.5,24
4751043577779,000023-0003-3XL,4,45,22.5,24
4751043577793,000023-0003-4XL,8,45,22.5,24
4751043571112,000069-0002-S-M,0,22,9.8,72
4751043571136,000069-0002-L-XL,0,22,9.8,72
4751043571150,000069-0002-XL-3XL,16,22,9.8,24
4751043570931,000068-0002-S-M,0,22,,72
4751043570955,000068-0002-L-XL,0,22,,72
4751043570979,000068-0002-XL-3XL,0,22,,72
4751043570993,000068-0006-S-M,0,22,,72
4751043571013,000068-0006-L-XL,0,22,,72
4751043571037,000068-0006-XL-3XL,0,22,9.8,72
4751043571235,000070-0003-S-M,0,22,,72
4751043571259,000070-0003-L-XL,0,22,,72
4751043571273,000070-0003-XL-3XL,0,22,,72
4751043578883,000127-0002-XS,6,39,15.5,24
4751043578906,000127-0002-S,0,39,15.5,72
4751043578920,000127-0002-M,0,39,15.5,72
4751043578944,000127-0002-L,0,39,15.5,72
4751043578968,000127-0002-XL,0,39,15.5,72
4751043578982,000127-0002-2XL,0,39,15.5,72
4751043579002,000127-0002-3XL,0,39,15.5,72
4751043579026,000127-0002-4XL,0,39,15.5,72
4751043576483,000122-0002-XS,5,39,19.9,24
4751043576506,000122-0002-S,0,39,19.9,72
4751043576520,000122-0002-M,0,39,19.9,72
4751043576544,000122-0002-L,0,39,,72
4751043576568,000122-0002-XL,0,39,,72
4751043576582,000122-0002-2XL,0,39,19.9,72
4751043576605,000122-0002-3XL,0,39,19.9,72
4751043576629,000122-0002-4XL,0,39,19.9,72
4751043576322,000122-0022-XS,4,39,19.9,24
4751043576346,000122-0022-S,5,39,19.9,24
